lake_name,obs_mo,ppt_obs,ppt_cdm_z,lake_lev_obs,lake_lev_pred,usgs_obs,swims_obs,airphoto_obs,bsts_lev_pred
Pleasant Lake,2014-08-01T05:00:00Z,160.77999877929687,1.0536689456188053,NA,298.808948827131,NA,NA,NA,298.65794399755066
Long Lake,2014-09-01T05:00:00Z,51.650001525878906,0.9678290501087111,NA,334.5934714443771,NA,NA,NA,333.92385743852014
Plainfield Lake,2014-09-01T05:00:00Z,51.650001525878906,0.9678290501087111,NA,334.75974408826403,NA,NA,NA,334.48283152976427
Pleasant Lake,2014-09-01T05:00:00Z,49.959999084472656,0.9308249684395836,NA,298.7812153769142,NA,NA,NA,298.71778393101096
Long Lake,2014-10-01T05:00:00Z,76.73999786376953,0.9915252848947015,NA,334.60639956399734,NA,NA,NA,334.1006997393477
Plainfield Lake,2014-10-01T05:00:00Z,76.73999786376953,0.9915252848947015,NA,334.76886570897113,NA,NA,NA,334.5272482985903
Pleasant Lake,2014-10-01T05:00:00Z,73.2699966430664,0.9329457816889983,NA,298.7816941750614,NA,NA,NA,298.62240595554124
Long Lake,2014-11-01T05:00:00Z,42.709999084472656,0.8326627394492295,NA,334.51972782018476,NA,NA,NA,334.06968892566897
Plainfield Lake,2014-11-01T05:00:00Z,42.709999084472656,0.8326627394492295,NA,334.70771321376645,NA,NA,NA,334.50690287672705
Pleasant Lake,2014-11-01T05:00:00Z,40.34000015258789,0.7631715743343439,NA,298.7433656819932,NA,NA,NA,298.6283560641764
Long Lake,2014-12-01T06:00:00Z,35.25,0.6369377934543369,NA,334.4129448001254,NA,NA,NA,334.1812174186322
Plainfield Lake,2014-12-01T06:00:00Z,35.25,0.6369377934543369,NA,334.6323709184014,NA,NA,NA,334.53824063060756
Pleasant Lake,2014-12-01T06:00:00Z,32.54999923706055,0.5561870142045303,NA,298.69663652094005,NA,NA,NA,298.63241345080104
Long Lake,2015-01-01T06:00:00Z,11.069999694824219,0.3135457350785869,NA,334.23650954563567,NA,NA,NA,334.05599891843264
Plainfield Lake,2015-01-01T06:00:00Z,11.069999694824219,0.3135457350785869,NA,334.5078844874205,NA,NA,NA,334.49834098270986
Pleasant Lake,2015-01-01T06:00:00Z,9.760000228881836,0.23228143316794106,NA,298.62351108562837,NA,NA,NA,298.64346433251325
Long Lake,2015-02-01T06:00:00Z,7.019999980926514,-0.030872781180723504,NA,334.04860274027874,NA,NA,NA,334.1349545060658
Plainfield Lake,2015-02-01T06:00:00Z,7.019999980926514,-0.030872781180723504,NA,334.37530413876186,NA,NA,NA,334.4188793992494
Pleasant Lake,2015-02-01T06:00:00Z,9.420000076293945,-0.09293325934794736,NA,298.5500901032425,NA,NA,NA,298.60744284995565
Long Lake,2015-03-01T06:00:00Z,11.649999618530273,-0.35013283635858083,NA,333.8744218115119,NA,NA,NA,334.03861699969735
Plainfield Lake,2015-03-01T06:00:00Z,11.649999618530273,-0.35013283635858083,NA,334.25240827971237,NA,NA,NA,334.3045967621164
Pleasant Lake,2015-03-01T06:00:00Z,10.479999542236328,-0.4118459165030312,NA,298.4780918783085,NA,NA,NA,298.61503698911014
Long Lake,2015-04-01T05:00:00Z,87.0199966430664,-0.26984936395536496,334.5180054,333.918222623925,NA,NA,334.5180054,334.43469749434695
Plainfield Lake,2015-04-01T05:00:00Z,87.0199966430664,-0.26984936395536496,334.2839966,334.28331257277523,NA,NA,334.2839966,334.3361512343686
Pleasant Lake,2015-04-01T05:00:00Z,98.0199966430664,-0.27836068306010825,298.523986816,298.50822771533836,NA,NA,298.523986816,298.5583217515707
Long Lake,2015-05-01T05:00:00Z,148.92999267578125,0.13555365368448533,NA,334.1394011678491,NA,NA,NA,334.09350101681804
Plainfield Lake,2015-05-01T05:00:00Z,148.92999267578125,0.13555365368448533,NA,334.4393682750345,NA,NA,NA,334.4793786241108
Pleasant Lake,2015-05-01T05:00:00Z,117.88999938964844,-0.04287619869403776,NA,298.56139106427884,NA,NA,NA,298.6636704125914
Long Lake,2015-06-01T05:00:00Z,110.2699966430664,0.34043872932464947,NA,334.2511817435481,NA,NA,NA,334.0871294682129
Plainfield Lake,2015-06-01T05:00:00Z,110.2699966430664,0.34043872932464947,NA,334.5182366676469,NA,NA,NA,334.4814946011094
Pleasant Lake,2015-06-01T05:00:00Z,107.66000366210937,0.14902252138085295,NA,298.6047144222658,NA,NA,NA,298.61445869447044
Long Lake,2015-07-01T05:00:00Z,71.43000030517578,0.35532441383418595,NA,334.2593030299763,NA,NA,NA,333.8028331061291
Plainfield Lake,2015-07-01T05:00:00Z,71.43000030517578,0.35532441383418595,NA,334.5239667580721,NA,NA,NA,334.45855879284136
Pleasant Lake,2015-07-01T05:00:00Z,50.619998931884766,0.06247355093449242,NA,298.58517499006643,NA,NA,NA,298.587063342823
Long Lake,2015-08-01T05:00:00Z,86.80999755859375,0.4544916007998635,333.6463,334.31340636188,NA,333.6463,NA,333.63291999859376
Plainfield Lake,2015-08-01T05:00:00Z,86.80999755859375,0.4544916007998635,NA,334.5621401419139,NA,NA,NA,334.4503266999783
Pleasant Lake,2015-08-01T05:00:00Z,71.8499984741211,0.08924036884319916,298.496736,298.5912179091332,NA,298.496736,NA,298.50207805513395
Long Lake,2015-09-01T05:00:00Z,105.11000061035156,0.6531605032541731,NA,334.4217955367403,NA,NA,NA,333.6835374896438
Plainfield Lake,2015-09-01T05:00:00Z,105.11000061035156,0.6531605032541731,NA,334.63861568289553,NA,NA,NA,334.39010935155136
Pleasant Lake,2015-09-01T05:00:00Z,113.87000274658203,0.3341563395902294,NA,298.64651052532815,NA,NA,NA,298.57357981759384
Long Lake,2015-10-01T05:00:00Z,70.98999786376953,0.6680985243605216,NA,334.4299453768097,NA,NA,NA,333.698508692694
Plainfield Lake,2015-10-01T05:00:00Z,70.98999786376953,0.6680985243605216,NA,334.6443659197529,NA,NA,NA,334.44983700389747
Pleasant Lake,2015-10-01T05:00:00Z,57.439998626708984,0.2858910828115871,NA,298.63561408476335,NA,NA,NA,298.510025478588
Long Lake,2015-11-01T05:00:00Z,67.73999786376953,0.6628982408141483,NA,334.42710822194715,NA,NA,NA,333.70216970109556
Plainfield Lake,2015-11-01T05:00:00Z,67.73999786376953,0.6628982408141483,NA,334.64236412434076,NA,NA,NA,334.4541278621994
Pleasant Lake,2015-11-01T05:00:00Z,70.1500015258789,0.30022136480802886,NA,298.6388493118495,NA,NA,NA,298.52423806728973
Long Lake,2015-12-01T06:00:00Z,138.69900512695312,1.026353192305694,NA,334.6254008676727,NA,NA,NA,333.8553749268468
